Dátum;Skupina;GFaktor;OD (600);A (360 nm);A (430 nm);A (600 nm);F (430 nm);T (°C);Anizotropia;
28.3.2017;delERG6-DPH;1,272;;0,10291;0,11426;0,12219;;20;0,256278689;
28.3.2017;delERG6-DPH;1,263;;0,10291;0,11426;0,12219;;20;0,235459016;
28.3.2017;KU80-DPH;1,259;;0,10071;0,10828;0,11353;;20;0,248393443;
28.3.2017;KU80-DPH;1,274;;0,10071;0,10828;0,11353;;20;0,224901639;
30.3.2017;delERG6-DPH;1,283;0,253;0,11182;0,12207;0,12732;;20;0,229125;
30.3.2017;KU80-DPH;1,309;0,256;0,11316;0,11926;0,11975;;20;0,217459016;
4.4.2017;delERG6-DPH;1,281;0,250;0,1062;0,10852;0,09851;8,8618;20;0,254393443;
4.4.2017;delERG6-DPH;1,309;0,250;0,1062;0,10852;0,09851;8,8618;20;0,231032787;
4.4.2017;KU80-DPH;1,345;0,255;0,10242;0,10486;0,09094;9,5805;20;0,212180328;
4.4.2017;KU80-DPH;1,281;0,255;0,10242;0,10486;0,09094;9,5805;20;0,222442623;
7.4.2017;delERG6-DPH;1,256;0,253;0,11169;0,11621;0,12061;9,4749;20;0,268016393;
7.4.2017;delERG6-DPH;1,265;0,253;0,11169;0,11621;0,12061;9,4749;20;0,213697674;
7.4.2017;delERG6-DPH;1,239;0,253;0,11169;0,11621;0,12061;9,4749;20;0,213208333;
7.4.2017;delERG6-DPH;1,282;0,255;0,10132;0,10803;0,11536;;20;0,235131148;
7.4.2017;KU80-DPH;1,312;0,25;0,10547;0,10645;0,10474;8,8428;20;0,240032787;
7.4.2017;KU80-DPH;1,3;0,25;0,10547;0,10645;0,10474;8,8428;20;0,227362069;
7.4.2017;KU80-DPH;1,329;0,25;0,10547;0,10645;0,10474;8,8428;20;0,226634146;
7.4.2017;KU80-DPH;1,319;0,255;0,10034;0,10352;0,10205;;20;0,231442623;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
